 61 4752.598233 1.521E-29 1.876E-05.04400.058 1977.21470.60-.009500    0 1 1 0 1F2    0 0 0 0 1A1   20F2241        19F1  5     124332453638 7 1 7   123.0  117.0
 61 4752.606593 3.714E-27 1.831E-03.04500.059 1778.20460.60-.009500    0 1 1 0 1F1    0 0 0 0 1A1   19F1236        18F2  1     134332453638 7 1 7   117.0  111.0
 61 4752.617276 2.366E-26 5.709E-05.05300.070  575.16990.64-.009500    0 3 0 0 1E     0 0 0 0 1A1   11F1157        10F2  2     334332453638 7 1 7    69.0   63.0
 61 4752.630647 2.667E-29 2.424E-04.04500.057 2397.82910.58-.009500    0 3 0 0 1E     0 0 0 0 1A1   21F1294        21F2  2     123332453637 7 1 7   129.0  129.0
 61 4752.633187 8.725E-29 1.076E-04.04400.058 1977.17920.60-.009500    0 1 1 0 1F2    0 0 0 0 1A1   20F1239        19F2  5     124332453638 7 1 7   123.0  117.0
 61 4752.699300 7.498E-28 6.852E-03.04500.057 2398.97780.58-.009500    0 3 0 0 1E     0 0 0 0 1A1   21F2292        21F1  4     123332453637 7 1 7   129.0  129.0
 61 4752.704340 1.216E-26 3.870E-03.03800.060 1593.92810.61-.009500    0 1 1 0 1F2    0 0 0 0 1A1   18E 153        17E   2     334332453638 7 1 7    74.0   70.0
 61 4752.727779 2.599E-27 3.183E-03.04400.058 1975.72490.60-.009500    0 1 1 0 1F1    0 0 0 0 1A1   20F2240        19F1  2     334332453638 7 1 7   123.0  117.0
 61 4752.734676 1.994E-28 4.809E-07.05300.070  575.05250.64-.009500    0 3 0 0 1E     0 0 0 0 1A1   11F1157        10F2  1     324332453638 7 1 7    69.0   63.0
 61 4752.750399 6.926E-28 3.457E-04.04500.059 1780.72900.60-.009500    0 1 1 0 1F1    0 0 0 0 1A1   19F1237        18F2  5     124332453638 7 1 7   117.0  111.0
 61 4752.787041 3.748E-28 4.575E-04.04400.058 1975.01230.60-.009500    0 1 1 0 1F1    0 0 0 0 1A1   20F1238        19F2  2     324332453638 7 1 7   123.0  117.0
 61 4752.805731 7.550E-27 1.599E-03.04500.060 1593.56160.61-.009500    0 1 1 0 1F2    0 0 0 0 1A1   18F1228        17F2  2     334332453638 7 1 7   111.0  105.0
 61 4752.828194 1.084E-26 2.617E-05.05300.070  575.25960.64-.009500    0 3 0 0 1A1    0 0 0 0 1A1   11F2154        10F1  2     434332453638 7 1 7    69.0   63.0
 61 4752.828843 4.702E-29 2.347E-05.04500.059 1780.74740.60-.009500    0 1 1 0 1F1    0 0 0 0 1A1   19F2234        18F1  4     124332453638 7 1 7   117.0  111.0
 61 4752.844904 5.719E-28 1.811E-03.04600.058 2180.95390.59-.009500    0 1 1 0 1F1    0 0 0 0 1A1   21F2244        20F1  2     123332453637 7 1 7   129.0  123.0
 61 4752.856135 2.160E-28 6.841E-04.04600.058 2180.95040.59-.009500    0 1 1 0 1F1    0 0 0 0 1A1   21F1245        20F2  1     123332453637 7 1 7   129.0  123.0
 61 4752.898463 3.894E-27 8.246E-04.04500.060 1593.52290.61-.009500    0 1 1 0 1F1    0 0 0 0 1A1   18F2230        17F1  3     134332453638 7 1 7   111.0  105.0
 61 4752.903694 4.586E-26 1.107E-04.05300.070  575.18410.64-.009500    0 3 0 0 1A1    0 0 0 0 1A1   11F2154        10F1  1     434332453638 7 1 7    69.0   63.0
 61 4752.921944 1.712E-27 5.126E-04.04600.059 1780.70700.60-.009500    0 1 1 0 1F1    0 0 0 0 1A1   19A1 78        18A2  2     134332453638 7 1 7   195.0  185.0
 61 4753.050144 5.723E-27 1.214E-03.04500.060 1593.87830.61-.009500    0 1 1 0 1F2    0 0 0 0 1A1   18F1229        17F2  3     134332453638 7 1 7   111.0  105.0
 61 4753.087530 1.321E-27 4.202E-03.04600.058 2181.82080.59-.009500    0 3 0 0 1A1    0 0 0 0 1A1   21F1246        20F2  2     133332453637 7 1 7   129.0  123.0
 61 4753.130018 4.119E-28 7.543E-04.03800.058 1975.01460.60-.009500    0 1 1 0 1F1    0 0 0 0 1A1   20E 160        19E   1     124332453638 7 1 7    82.0   78.0
